,PM2.5,PM10,NO2,SO2,NH3,CO,Ozone,SO2i,NOi,PM25i,PM10i,Ozonei,NH3i,COi,AQI,AQI_Range
30,45.31,87.01,11.93,8.28,7.38,0.59,28.45,10.35,14.9125,75.51666666666668,108.7625,28.45,1.845,29.5,108.7625,Moderately Polluted
31,33.6,81.17,10.72,8.34,7.48,0.73,33.25,10.425,13.4,56.0,101.4625,33.25,1.87,36.5,101.4625,Moderately Polluted
32,29.43,73.0,8.31,8.33,8.37,0.61,40.43,10.4125,10.3875,49.050000000000004,91.25,40.43,2.0925,30.5,91.25,Satisfactory
33,34.37,85.83,9.34,8.32,9.11,0.76,37.25,10.4,11.675,57.28333333333333,107.2875,37.25,2.2775,38.0,107.2875,Moderately Polluted
34,37.07,91.18,11.32,8.36,5.69,0.89,25.46,10.45,14.15,61.78333333333333,113.97500000000001,25.46,1.4225,44.5,113.97500000000001,Moderately Polluted
35,44.23,94.56,12.38,8.33,6.52,0.94,25.2,10.4125,15.475,73.71666666666667,118.2,25.2,1.63,47.0,118.2,Moderately Polluted
36,33.66,72.0,8.52,8.36,8.45,0.76,35.2,10.45,10.65,56.099999999999994,90.0,35.2,2.1125,38.0,90.0,Satisfactory
37,45.39,103.34,8.57,7.37,6.4,1.11,32.87,9.2125,10.7125,75.65,123.34,32.87,1.6,55.50000000000001,123.34,Moderately Polluted
38,48.06,96.89,6.63,6.68,6.15,0.81,42.93,8.35,8.2875,80.10000000000001,121.1125,42.93,1.5375,40.5,121.1125,Moderately Polluted
39,33.95,70.89,4.83,6.68,6.02,0.79,47.51,8.35,6.0375,56.583333333333336,88.6125,47.51,1.505,39.5,88.6125,Satisfactory
40,38.14,87.33,9.11,6.63,6.79,1.05,37.65,8.2875,11.3875,63.56666666666667,109.1625,37.65,1.6975,52.5,109.1625,Moderately Polluted
41,52.9,109.39,16.46,10.18,7.87,1.18,32.91,12.725,20.575,88.16666666666666,129.39,32.91,1.9675,59.0,129.39,Moderately Polluted
42,59.82,121.37,18.27,7.14,8.51,1.32,29.82,8.924999999999999,22.8375,99.7,141.37,29.82,2.1275,66.0,141.37,Moderately Polluted
43,48.32,97.3,18.07,5.62,6.37,1.04,22.2,7.025,22.5875,80.53333333333333,121.625,22.2,1.5925,52.0,121.625,Moderately Polluted
44,35.68,80.7,15.17,7.09,7.44,0.88,32.41,8.8625,18.9625,59.46666666666667,100.875,32.41,1.86,44.0,100.875,Moderately Polluted
45,43.78,101.61,19.28,6.17,7.28,1.05,29.0,7.7125,24.1,72.96666666666667,121.61,29.0,1.82,52.5,121.61,Moderately Polluted
46,42.92,99.6,19.29,6.04,8.75,1.05,28.48,7.55,24.1125,71.53333333333333,124.5,28.48,2.1875,52.5,124.5,Moderately Polluted
47,32.02,86.27,40.17,7.16,17.93,1.1,37.42,8.95,50.212500000000006,53.366666666666674,107.83749999999999,37.42,4.4825,55.00000000000001,107.83749999999999,Moderately Polluted
48,45.44,109.22,15.64,10.0,5.92,1.17,26.69,12.5,19.55,75.73333333333333,129.22,26.69,1.48,58.5,129.22,Moderately Polluted
49,65.34,132.86,21.15,16.36,6.62,1.2,28.72,20.45,26.4375,117.80000000000001,152.86,28.72,1.655,60.0,152.86,Moderately Polluted
50,58.02,121.19,20.4,9.46,4.66,1.37,17.95,11.825000000000001,25.499999999999996,96.70000000000002,141.19,17.95,1.165,68.5,141.19,Moderately Polluted
51,35.37,86.6,16.09,9.15,5.87,0.93,25.78,11.4375,20.1125,58.949999999999996,108.25,25.78,1.4675,46.5,108.25,Moderately Polluted
52,27.02,75.78,13.99,6.55,5.96,0.86,35.11,8.1875,17.4875,45.03333333333333,94.725,35.11,1.49,43.0,94.725,Satisfactory
53,40.25,86.43,13.41,7.59,5.87,0.88,37.61,9.4875,16.7625,67.08333333333334,108.03750000000001,37.61,1.4675,44.0,108.03750000000001,Moderately Polluted
